suburb,postcode,rent,rent(share)
Pyrmont,2009,623,462.0
Quakers Hill,2763,,207.0
Queens Park,2022,750,472.0
Queenscliff,2096,585,396.0
Raby,2566,,180.0
Ramsgate,2217,540,270.0
Ramsgate Beach,2217,540,270.0
Randwick,2031,620,405.0
Redfern,2016,561,400.0
Regents Park,2143,,207.0
Regentville,2745,,173.0
Revesby,2212,,190.0
Revesby Heights,2212,,190.0
Rhodes,2138,482,402.0
Richmond,2753,,202.0
Riverstone,2765,,214.0
Riverview,2066,570,312.0
Riverwood,2210,470,253.0
Rockdale,2216,490,278.0
Rodd Point,2046,550,317.0
Rookwood,2141,550,265.0
Rooty Hill,2766,,183.0
Ropes Crossing,2760,280,175.0
Rose Bay,2029,578,438.0
Rosebery,2018,700,442.0
Rosehill,2142,400,227.0
Roselands,2196,,214.0
Rosemeadow,2560,350,181.0
Roseville,2069,500,339.0
Roseville Chase,2069,500,339.0
Rossmore,2557,,200.0
Rouse Hill,2155,500,249.0
Royal National Park,,,
Rozelle,2039,595,389.0
Ruse,2560,350,181.0
Rushcutters Bay,2011,512,433.0
Russell Lea,2046,550,317.0
Rydalmere,2116,,220.0
Ryde,2112,530,296.0
Sackville North,2035,459,380.0
Sadleir,2168,,180.0
Sandringham,2219,540,266.0
Sandy Point,2172,,
Sans Souci,2219,540,266.0
Schofields,2762,435,235.0
Scotland Island,2105,,
Seaforth,2092,,
Sefton,2162,,219.0
Seven Hills,2147,350,199.0
Shalvey,2770,270,163.0
Shanes Park,2747,330,174.0
Silverwater,2128,,
Singletons Mill,2775,,
Smeaton Grange,2567,385,203.0
Smithfield,2164,,204.0
South Coogee,2034,678,432.0
South Granville,2142,400,227.0
South Hurstville,2221,,273.0
South Maroota,2756,280,197.0
South Penrith,2750,430,199.0
South Turramurra,2074,510,318.0
South Wentworthville,2145,450,228.0
South Windsor,2756,280,197.0
Spring Farm,2570,375,206.0
St Andrews,2566,,180.0
St Clair,2759,,192.0
St Helens Park,2560,350,181.0
St Ives,2075,,334.0
St Ives Chase,2075,,334.0
St Johns Park,2176,,207.0
St Leonards,2065,589,449.0
St Marys,2760,280,175.0
St Peters,2044,640,406.0
Stanhope Gardens,2768,,217.0
Stanmore,2048,388,335.0
Strathfield,2135,395,299.0
Strathfield South,2136,,265.0
Summer Hill,2130,649,293.0
Surry Hills,2010,538,438.0
Sutherland,2232,525,270.0
Sydenham,2044,640,406.0
Sydney,,,
Sydney Olympic Park,2127,580,349.0
Sylvania,2224,,268.0
Sylvania Waters,2224,,268.0
Tamarama,2026,580,473.0
Taren Point,2229,450,279.0
Telopea,2117,378,230.0
Tempe,2044,640,406.0
Tennyson Point,2111,500,284.0
Terrey Hills,2084,,
The Ponds,2769,,
The Rocks,2000,634,558.0
Thornleigh,2120,395,268.0
Toongabbie,2146,300,209.0
Tregear,2770,270,163.0
Turramurra,2074,510,318.0
Turrella,2205,650,365.0
Ultimo,2007,466,471.0
Varroville,2566,,180.0
Vaucluse,2030,598,430.0
Villawood,2163,315,198.0
Vineyard,2765,,214.0
Voyager Point,2172,,
Wahroonga,2076,420,284.0
Waitara,2077,400,262.0
Wakeley,2176,,207.0
Wallacia,2745,,173.0
Wareemba,2046,550,317.0
Warrawee,2074,510,318.0
Warriewood,2102,,400.0
Warwick Farm,2170,400,207.0
Waterfall,2233,,250.0
Waterloo,2017,730,480.0
Watsons Bay,2030,598,430.0
