postcode,dwelling types,number of bedrooms,rent
2108,Other,1 Bedroom,
2108,Other,Not Specified,
2108,Other,2 Bedrooms,
2108,Other,3 Bedrooms,
2108,Townhouse,Total,
2108,Townhouse,1 Bedroom,
2108,Townhouse,2 Bedrooms,
2108,Townhouse,3 Bedrooms,
2108,Flat/Unit,Total,
2108,Flat/Unit,Bedsitter,
2108,Flat/Unit,1 Bedroom,
2108,Flat/Unit,Not Specified,
2108,Flat/Unit,2 Bedrooms,
2108,Flat/Unit,3 Bedrooms,
2110,Total,Total,800
2110,Total,1 Bedroom,
2110,Total,Not Specified,950
2110,Total,2 Bedrooms,550
2110,Total,3 Bedrooms,
2110,Total,4 or more Bedrooms,
2110,House,Total,1050
2110,House,1 Bedroom,
2110,House,Not Specified,950
2110,House,2 Bedrooms,
2110,House,3 Bedrooms,
2110,House,4 or more Bedrooms,
2110,Other,Total,
2110,Other,1 Bedroom,
2110,Other,Not Specified,
2110,Other,2 Bedrooms,
2110,Other,3 Bedrooms,
2110,Other,4 or more Bedrooms,
2110,Townhouse,Total,
2110,Townhouse,1 Bedroom,
2110,Townhouse,Not Specified,
2110,Townhouse,2 Bedrooms,
2110,Townhouse,3 Bedrooms,
2110,Townhouse,4 or more Bedrooms,
2110,Flat/Unit,Total,550
2110,Flat/Unit,1 Bedroom,
2110,Flat/Unit,Not Specified,
2110,Flat/Unit,2 Bedrooms,
2110,Flat/Unit,3 Bedrooms,
2110,Flat/Unit,4 or more Bedrooms,
2111,Total,Total,570
2111,Total,Bedsitter,
2111,Total,1 Bedroom,500
2111,Total,Not Specified,600
2111,Total,2 Bedrooms,550
2111,Total,3 Bedrooms,880
2111,Total,4 or more Bedrooms,1250
2111,House,Total,750
2111,House,Bedsitter,
2111,House,1 Bedroom,
2111,House,Not Specified,750
2111,House,2 Bedrooms,
2111,House,3 Bedrooms,
2111,House,4 or more Bedrooms,1250
2111,Other,Total,
2111,Other,1 Bedroom,
2111,Other,Not Specified,
2111,Other,2 Bedrooms,
2111,Other,3 Bedrooms,
2111,Other,4 or more Bedrooms,
2111,Townhouse,Total,
2111,Townhouse,1 Bedroom,
2111,Townhouse,Not Specified,
2111,Townhouse,2 Bedrooms,
2111,Townhouse,3 Bedrooms,
2111,Townhouse,4 or more Bedrooms,
2111,Flat/Unit,Total,500
2111,Flat/Unit,Bedsitter,
2111,Flat/Unit,1 Bedroom,498
2111,Flat/Unit,Not Specified,460
2111,Flat/Unit,2 Bedrooms,550
2111,Flat/Unit,3 Bedrooms,
2111,Flat/Unit,4 or more Bedrooms,
2112,Total,Total,620
2112,Total,Bedsitter,
2112,Total,1 Bedroom,530
2112,Total,Not Specified,620
2112,Total,2 Bedrooms,650
2112,Total,3 Bedrooms,800
2112,Total,4 or more Bedrooms,1100
2112,House,Total,680
2112,House,Bedsitter,
2112,House,1 Bedroom,
2112,House,Not Specified,650
2112,House,2 Bedrooms,550
2112,House,3 Bedrooms,780
2112,House,4 or more Bedrooms,1060
2112,Other,Total,
2112,Other,Bedsitter,
2112,Other,1 Bedroom,
2112,Other,Not Specified,
2112,Other,2 Bedrooms,
2112,Other,3 Bedrooms,
2112,Other,4 or more Bedrooms,
2112,Townhouse,Total,865
2112,Townhouse,Bedsitter,
2112,Townhouse,1 Bedroom,
2112,Townhouse,Not Specified,
2112,Townhouse,2 Bedrooms,
2112,Townhouse,3 Bedrooms,
2112,Townhouse,4 or more Bedrooms,
2112,Flat/Unit,Total,570
2112,Flat/Unit,Bedsitter,
2112,Flat/Unit,1 Bedroom,530
2112,Flat/Unit,Not Specified,420
2112,Flat/Unit,2 Bedrooms,670
2112,Flat/Unit,3 Bedrooms,950
2112,Flat/Unit,4 or more Bedrooms,
2113,Total,Total,670
2113,Total,Bedsitter,
2113,Total,1 Bedroom,600
2113,Total,Not Specified,650
2113,Total,2 Bedrooms,755
2113,Total,3 Bedrooms,755
2113,Total,4 or more Bedrooms,1150
2113,House,Total,680
2113,House,1 Bedroom,
2113,House,Not Specified,650
2113,House,2 Bedrooms,765
2113,House,3 Bedrooms,700
2113,House,4 or more Bedrooms,1125
2113,Other,Total,
2113,Other,Bedsitter,
2113,Other,1 Bedroom,
2113,Other,Not Specified,
2113,Other,2 Bedrooms,
2113,Other,3 Bedrooms,
2113,Other,4 or more Bedrooms,
2113,Townhouse,Total,740
2113,Townhouse,1 Bedroom,
2113,Townhouse,Not Specified,
2113,Townhouse,2 Bedrooms,
2113,Townhouse,3 Bedrooms,
2113,Townhouse,4 or more Bedrooms,
2113,Flat/Unit,Total,653
2113,Flat/Unit,Bedsitter,
2113,Flat/Unit,1 Bedroom,600
2113,Flat/Unit,Not Specified,680
2113,Flat/Unit,2 Bedrooms,760
2113,Flat/Unit,3 Bedrooms,1100
2113,Flat/Unit,4 or more Bedrooms,
2114,Total,Total,550
2114,Total,Bedsitter,
2114,Total,1 Bedroom,500
2114,Total,Not Specified,550
2114,Total,2 Bedrooms,550
2114,Total,3 Bedrooms,770
2114,Total,4 or more Bedrooms,975
2114,House,Total,610
2114,House,Bedsitter,
2114,House,1 Bedroom,
2114,House,Not Specified,570
2114,House,2 Bedrooms,
2114,House,3 Bedrooms,750
2114,House,4 or more Bedrooms,910
2114,Other,Total,700
2114,Other,Bedsitter,
2114,Other,1 Bedroom,
2114,Other,Not Specified,
2114,Other,2 Bedrooms,
2114,Other,3 Bedrooms,
2114,Other,4 or more Bedrooms,
2114,Townhouse,Total,
2114,Townhouse,1 Bedroom,
2114,Townhouse,Not Specified,
2114,Townhouse,2 Bedrooms,
2114,Townhouse,3 Bedrooms,
2114,Townhouse,4 or more Bedrooms,
2114,Flat/Unit,Total,530
2114,Flat/Unit,Bedsitter,
2114,Flat/Unit,1 Bedroom,500
2114,Flat/Unit,Not Specified,470
2114,Flat/Unit,2 Bedrooms,550
2114,Flat/Unit,3 Bedrooms,850
2114,Flat/Unit,4 or more Bedrooms,
2115,Total,Total,665
2115,Total,Bedsitter,
2115,Total,1 Bedroom,
2115,Total,Not Specified,680
2115,Total,2 Bedrooms,650
2115,Total,3 Bedrooms,675
2115,Total,4 or more Bedrooms,950
2115,House,Total,700
2115,House,1 Bedroom,
2115,House,Not Specified,680
2115,House,2 Bedrooms,
2115,House,3 Bedrooms,
2115,House,4 or more Bedrooms,1050
2115,Other,Total,
2115,Other,1 Bedroom,
2115,Other,Not Specified,
2115,Other,2 Bedrooms,
2115,Other,3 Bedrooms,
2115,Other,4 or more Bedrooms,
2115,Townhouse,Total,
2115,Townhouse,Not Specified,
2115,Townhouse,2 Bedrooms,
2115,Townhouse,3 Bedrooms,
2115,Townhouse,4 or more Bedrooms,
2115,Flat/Unit,Total,650
2115,Flat/Unit,Bedsitter,
2115,Flat/Unit,1 Bedroom,
2115,Flat/Unit,Not Specified,
2115,Flat/Unit,2 Bedrooms,650
2115,Flat/Unit,3 Bedrooms,
2115,Flat/Unit,4 or more Bedrooms,
2116,Total,Total,550
2116,Total,Bedsitter,
2116,Total,1 Bedroom,
2116,Total,Not Specified,
2116,Total,2 Bedrooms,505
2116,Total,3 Bedrooms,560
2116,Total,4 or more Bedrooms,
2116,House,Total,570
2116,House,Bedsitter,
2116,House,1 Bedroom,
2116,House,Not Specified,
2116,House,2 Bedrooms,
2116,House,3 Bedrooms,
2116,House,4 or more Bedrooms,
2116,Other,Total,
2116,Other,1 Bedroom,
2116,Other,Not Specified,
2116,Other,2 Bedrooms,
2116,Other,3 Bedrooms,
2116,Other,4 or more Bedrooms,
2116,Townhouse,Total,
2116,Townhouse,1 Bedroom,
2116,Townhouse,Not Specified,
2116,Townhouse,2 Bedrooms,
2116,Townhouse,3 Bedrooms,
2116,Townhouse,4 or more Bedrooms,
2116,Flat/Unit,Total,510
2116,Flat/Unit,1 Bedroom,
2116,Flat/Unit,Not Specified,
2116,Flat/Unit,2 Bedrooms,518
2116,Flat/Unit,3 Bedrooms,
2116,Flat/Unit,4 or more Bedrooms,
2117,Total,Total,600
2117,Total,Bedsitter,
2117,Total,1 Bedroom,378
2117,Total,Not Specified,600
2117,Total,2 Bedrooms,485
2117,Total,3 Bedrooms,650
2117,Total,4 or more Bedrooms,850
2117,House,Total,650
2117,House,Bedsitter,
2117,House,1 Bedroom,
2117,House,Not Specified,630
2117,House,2 Bedrooms,
2117,House,3 Bedrooms,610
2117,House,4 or more Bedrooms,850
2117,Other,Total,
2117,Other,Bedsitter,
2117,Other,1 Bedroom,
2117,Other,Not Specified,
2117,Other,2 Bedrooms,
2117,Other,3 Bedrooms,
2117,Other,4 or more Bedrooms,
2117,Townhouse,Total,700
2117,Townhouse,Bedsitter,
2117,Townhouse,1 Bedroom,
2117,Townhouse,Not Specified,
2117,Townhouse,2 Bedrooms,
2117,Townhouse,3 Bedrooms,700
2117,Townhouse,4 or more Bedrooms,
2117,Flat/Unit,Total,470
2117,Flat/Unit,Bedsitter,
2117,Flat/Unit,1 Bedroom,380
2117,Flat/Unit,Not Specified,
2117,Flat/Unit,2 Bedrooms,480
2117,Flat/Unit,3 Bedrooms,
2117,Flat/Unit,4 or more Bedrooms,
2118,Total,Total,600
2118,Total,Bedsitter,
2118,Total,1 Bedroom,480
2118,Total,Not Specified,640
2118,Total,2 Bedrooms,578
2118,Total,3 Bedrooms,670
2118,Total,4 or more Bedrooms,850
2118,House,Total,680
2118,House,Bedsitter,
2118,House,1 Bedroom,
2118,House,Not Specified,640
2118,House,2 Bedrooms,
2118,House,3 Bedrooms,620
2118,House,4 or more Bedrooms,870
2118,Other,Total,
2118,Other,Bedsitter,
2118,Other,1 Bedroom,
2118,Other,Not Specified,
2118,Other,2 Bedrooms,
2118,Other,3 Bedrooms,
2118,Other,4 or more Bedrooms,
2118,Townhouse,Total,710
2118,Townhouse,1 Bedroom,
2118,Townhouse,Not Specified,
2118,Townhouse,2 Bedrooms,
2118,Townhouse,3 Bedrooms,
2118,Townhouse,4 or more Bedrooms,
2118,Flat/Unit,Total,580
2118,Flat/Unit,Bedsitter,
2118,Flat/Unit,1 Bedroom,490
2118,Flat/Unit,Not Specified,
2118,Flat/Unit,2 Bedrooms,580
2118,Flat/Unit,3 Bedrooms,685
2118,Flat/Unit,4 or more Bedrooms,
2119,Total,Total,800
2119,Total,Bedsitter,
2119,Total,1 Bedroom,
2119,Total,Not Specified,695
2119,Total,2 Bedrooms,
2119,Total,3 Bedrooms,
2119,Total,4 or more Bedrooms,945
2119,House,Total,850
2119,House,1 Bedroom,
2119,House,Not Specified,730
2119,House,2 Bedrooms,
2119,House,3 Bedrooms,
2119,House,4 or more Bedrooms,945
2119,Other,Total,
2119,Other,Bedsitter,
2119,Other,1 Bedroom,
2119,Other,Not Specified,
2119,Other,2 Bedrooms,
2119,Other,3 Bedrooms,
2119,Other,4 or more Bedrooms,
2119,Townhouse,Total,
2119,Townhouse,2 Bedrooms,
2119,Townhouse,3 Bedrooms,
2119,Townhouse,4 or more Bedrooms,
2119,Flat/Unit,Total,
2119,Flat/Unit,1 Bedroom,
2119,Flat/Unit,Not Specified,
2119,Flat/Unit,2 Bedrooms,
2119,Flat/Unit,3 Bedrooms,
2119,Flat/Unit,4 or more Bedrooms,
2120,Total,Total,590
2120,Total,Bedsitter,
2120,Total,1 Bedroom,395
2120,Total,Not Specified,600
2120,Total,2 Bedrooms,550
2120,Total,3 Bedrooms,785
2120,Total,4 or more Bedrooms,920
2120,House,Total,755
2120,House,Bedsitter,
2120,House,1 Bedroom,
2120,House,Not Specified,645
2120,House,2 Bedrooms,
2120,House,3 Bedrooms,
2120,House,4 or more Bedrooms,935
2120,Other,Total,
2120,Other,Bedsitter,
2120,Other,1 Bedroom,
2120,Other,Not Specified,
2120,Other,2 Bedrooms,
2120,Other,3 Bedrooms,
2120,Other,4 or more Bedrooms,
2120,Townhouse,Total,
2120,Townhouse,1 Bedroom,
2120,Townhouse,Not Specified,
2120,Townhouse,2 Bedrooms,
2120,Townhouse,3 Bedrooms,
2120,Townhouse,4 or more Bedrooms,
2120,Flat/Unit,Total,525
2120,Flat/Unit,Bedsitter,
2120,Flat/Unit,1 Bedroom,425
2120,Flat/Unit,Not Specified,
2120,Flat/Unit,2 Bedrooms,555
2120,Flat/Unit,3 Bedrooms,
2120,Flat/Unit,4 or more Bedrooms,
2121,Total,Total,650
2121,Total,Bedsitter,
2121,Total,1 Bedroom,550
2121,Total,Not Specified,658
2121,Total,2 Bedrooms,645
2121,Total,3 Bedrooms,750
2121,Total,4 or more Bedrooms,985
2121,House,Total,670
2121,House,Bedsitter,
2121,House,1 Bedroom,
2121,House,Not Specified,660
2121,House,2 Bedrooms,
2121,House,3 Bedrooms,710
2121,House,4 or more Bedrooms,960
2121,Other,Total,
2121,Other,1 Bedroom,
2121,Other,Not Specified,
2121,Other,2 Bedrooms,
2121,Other,3 Bedrooms,
2121,Other,4 or more Bedrooms,
2121,Townhouse,Total,750
2121,Townhouse,1 Bedroom,
2121,Townhouse,Not Specified,
2121,Townhouse,2 Bedrooms,
2121,Townhouse,3 Bedrooms,
2121,Townhouse,4 or more Bedrooms,
2121,Flat/Unit,Total,620
2121,Flat/Unit,Bedsitter,
2121,Flat/Unit,1 Bedroom,550
2121,Flat/Unit,Not Specified,615
2121,Flat/Unit,2 Bedrooms,650
2121,Flat/Unit,3 Bedrooms,780
2121,Flat/Unit,4 or more Bedrooms,
2122,Total,Total,620
2122,Total,Bedsitter,
2122,Total,1 Bedroom,438
2122,Total,Not Specified,600
2122,Total,2 Bedrooms,550
2122,Total,3 Bedrooms,740
2122,Total,4 or more Bedrooms,973
2122,House,Total,713
2122,House,Bedsitter,
2122,House,1 Bedroom,
2122,House,Not Specified,600
2122,House,2 Bedrooms,
2122,House,3 Bedrooms,750
2122,House,4 or more Bedrooms,965
2122,Other,Total,
2122,Other,Bedsitter,
2122,Other,1 Bedroom,
2122,Other,Not Specified,
2122,Other,2 Bedrooms,
2122,Other,3 Bedrooms,
2122,Other,4 or more Bedrooms,
2122,Townhouse,Total,650
2122,Townhouse,Bedsitter,
2122,Townhouse,1 Bedroom,
2122,Townhouse,Not Specified,
2122,Townhouse,2 Bedrooms,580
2122,Townhouse,3 Bedrooms,725
2122,Townhouse,4 or more Bedrooms,
2122,Flat/Unit,Total,530
2122,Flat/Unit,Bedsitter,
2122,Flat/Unit,1 Bedroom,490
2122,Flat/Unit,Not Specified,
2122,Flat/Unit,2 Bedrooms,520
2122,Flat/Unit,3 Bedrooms,750
2122,Flat/Unit,4 or more Bedrooms,
2125,Total,Total,810
2125,Total,Bedsitter,
2125,Total,1 Bedroom,
2125,Total,Not Specified,725
2125,Total,2 Bedrooms,
2125,Total,3 Bedrooms,
2125,Total,4 or more Bedrooms,1050
2125,House,Total,920
2125,House,Bedsitter,
2125,House,1 Bedroom,
2125,House,Not Specified,725
2125,House,2 Bedrooms,
2125,House,3 Bedrooms,
2125,House,4 or more Bedrooms,1050
2125,Other,Total,
2125,Other,1 Bedroom,
2125,Other,Not Specified,
2125,Other,2 Bedrooms,
2125,Other,3 Bedrooms,
2125,Other,4 or more Bedrooms,
2125,Townhouse,Total,
2125,Townhouse,Bedsitter,
2125,Townhouse,1 Bedroom,
2125,Townhouse,Not Specified,
2125,Townhouse,2 Bedrooms,
2125,Townhouse,3 Bedrooms,
2125,Townhouse,4 or more Bedrooms,
2125,Flat/Unit,Total,
2125,Flat/Unit,1 Bedroom,
2125,Flat/Unit,Not Specified,
2125,Flat/Unit,2 Bedrooms,
2125,Flat/Unit,3 Bedrooms,
2125,Flat/Unit,4 or more Bedrooms,
2126,Total,Total,890
2126,Total,1 Bedroom,
2126,Total,Not Specified,890
2126,Total,2 Bedrooms,
2126,Total,3 Bedrooms,
2126,Total,4 or more Bedrooms,965
2126,House,Total,900
2126,House,1 Bedroom,
2126,House,Not Specified,890
2126,House,2 Bedrooms,
2126,House,3 Bedrooms,
2126,House,4 or more Bedrooms,980
2126,Other,Total,
2126,Other,1 Bedroom,
2126,Other,Not Specified,
2126,Other,2 Bedrooms,
2126,Other,3 Bedrooms,
2126,Other,4 or more Bedrooms,
2126,Townhouse,Total,
2126,Townhouse,1 Bedroom,
2126,Townhouse,Not Specified,
2126,Townhouse,2 Bedrooms,
2126,Townhouse,3 Bedrooms,
2126,Townhouse,4 or more Bedrooms,
2126,Flat/Unit,Total,
2126,Flat/Unit,1 Bedroom,
2126,Flat/Unit,Not Specified,
2126,Flat/Unit,2 Bedrooms,
2126,Flat/Unit,3 Bedrooms,
2126,Flat/Unit,4 or more Bedrooms,
2127,Total,Total,660
2127,Total,Bedsitter,
2127,Total,1 Bedroom,580
2127,Total,Not Specified,650
2127,Total,2 Bedrooms,730
2127,Total,3 Bedrooms,1000
2127,Total,4 or more Bedrooms,
2127,House,Total,650
2127,House,Bedsitter,
2127,House,1 Bedroom,
2127,House,Not Specified,650
2127,House,2 Bedrooms,725
2127,House,3 Bedrooms,
2127,House,4 or more Bedrooms,
2127,Other,Total,
2127,Other,Bedsitter,
2127,Other,1 Bedroom,
2127,Other,Not Specified,
2127,Other,2 Bedrooms,
2127,Other,3 Bedrooms,
2127,Other,4 or more Bedrooms,
2127,Townhouse,Total,
2127,Townhouse,1 Bedroom,
2127,Townhouse,2 Bedrooms,
2127,Townhouse,3 Bedrooms,
2127,Townhouse,4 or more Bedrooms,
2127,Flat/Unit,Total,660
2127,Flat/Unit,Bedsitter,
2127,Flat/Unit,1 Bedroom,580
2127,Flat/Unit,Not Specified,680
2127,Flat/Unit,2 Bedrooms,730
2127,Flat/Unit,3 Bedrooms,1000
2127,Flat/Unit,4 or more Bedrooms,
2128,Total,Total,485
2128,Total,Bedsitter,
2128,Total,1 Bedroom,
2128,Total,Not Specified,
2128,Total,2 Bedrooms,
2128,Total,3 Bedrooms,
2128,Total,4 or more Bedrooms,
2128,House,Total,500
2128,House,1 Bedroom,
2128,House,Not Specified,
2128,House,2 Bedrooms,
2128,House,3 Bedrooms,
2128,House,4 or more Bedrooms,
2128,Other,Total,
2128,Other,1 Bedroom,
2128,Other,Not Specified,
2128,Other,2 Bedrooms,
2128,Other,3 Bedrooms,
2128,Other,4 or more Bedrooms,
2128,Townhouse,Total,
2128,Townhouse,Not Specified,
2128,Townhouse,2 Bedrooms,
2128,Townhouse,3 Bedrooms,
2128,Townhouse,4 or more Bedrooms,
2128,Flat/Unit,Total,470
2128,Flat/Unit,Bedsitter,
2128,Flat/Unit,1 Bedroom,
2128,Flat/Unit,Not Specified,
2128,Flat/Unit,2 Bedrooms,
2128,Flat/Unit,3 Bedrooms,
2130,Total,Total,627
2130,Total,Bedsitter,
2130,Total,1 Bedroom,649
2130,Total,Not Specified,522
2130,Total,2 Bedrooms,595
2130,Total,3 Bedrooms,863
2130,Total,4 or more Bedrooms,
2130,House,Total,530
2130,House,Bedsitter,
2130,House,1 Bedroom,
2130,House,Not Specified,521
2130,House,2 Bedrooms,
2130,House,3 Bedrooms,
2130,House,4 or more Bedrooms,
2130,Other,Total,
2130,Other,Bedsitter,
2130,Other,1 Bedroom,
2130,Other,Not Specified,
2130,Other,2 Bedrooms,
2130,Other,3 Bedrooms,
2130,Other,4 or more Bedrooms,
2130,Townhouse,Total,
2130,Townhouse,1 Bedroom,
2130,Townhouse,Not Specified,
2130,Townhouse,2 Bedrooms,
2130,Townhouse,3 Bedrooms,
2130,Townhouse,4 or more Bedrooms,
2130,Flat/Unit,Total,649
2130,Flat/Unit,Bedsitter,
2130,Flat/Unit,1 Bedroom,649
2130,Flat/Unit,Not Specified,
2130,Flat/Unit,2 Bedrooms,598
2130,Flat/Unit,3 Bedrooms,
2130,Flat/Unit,4 or more Bedrooms,
2131,Total,Total,550
2131,Total,Bedsitter,
2131,Total,1 Bedroom,455
2131,Total,Not Specified,550
2131,Total,2 Bedrooms,550
2131,Total,3 Bedrooms,795
2131,Total,4 or more Bedrooms,
2131,House,Total,580
2131,House,Bedsitter,
2131,House,1 Bedroom,
2131,House,Not Specified,540
2131,House,2 Bedrooms,650
2131,House,3 Bedrooms,875
2131,House,4 or more Bedrooms,
2131,Other,Total,
2131,Other,Bedsitter,
2131,Other,1 Bedroom,
2131,Other,Not Specified,
2131,Other,2 Bedrooms,
2131,Other,3 Bedrooms,
2131,Other,4 or more Bedrooms,
2131,Townhouse,Total,
2131,Townhouse,1 Bedroom,
2131,Townhouse,Not Specified,
2131,Townhouse,2 Bedrooms,
2131,Townhouse,3 Bedrooms,
2131,Townhouse,4 or more Bedrooms,
2131,Flat/Unit,Total,550
2131,Flat/Unit,Bedsitter,
2131,Flat/Unit,1 Bedroom,480
2131,Flat/Unit,Not Specified,
2131,Flat/Unit,2 Bedrooms,550
2131,Flat/Unit,3 Bedrooms,730
2131,Flat/Unit,4 or more Bedrooms,
2132,Total,Total,600
2132,Total,Bedsitter,
2132,Total,1 Bedroom,473
2132,Total,Not Specified,630
2132,Total,2 Bedrooms,540
2132,Total,3 Bedrooms,828
2132,Total,4 or more Bedrooms,
2132,House,Total,795
2132,House,1 Bedroom,
2132,House,Not Specified,630
2132,House,2 Bedrooms,
2132,House,3 Bedrooms,
2132,House,4 or more Bedrooms,
2132,Other,Total,
2132,Other,Bedsitter,
2132,Other,1 Bedroom,
2132,Other,Not Specified,
2132,Other,2 Bedrooms,
2132,Other,3 Bedrooms,
2132,Townhouse,Total,
2132,Townhouse,1 Bedroom,
2132,Townhouse,Not Specified,
2132,Townhouse,2 Bedrooms,
2132,Townhouse,3 Bedrooms,
2132,Townhouse,4 or more Bedrooms,
2132,Flat/Unit,Total,520
2132,Flat/Unit,Bedsitter,
2132,Flat/Unit,1 Bedroom,550
2132,Flat/Unit,Not Specified,
2132,Flat/Unit,2 Bedrooms,510
2132,Flat/Unit,3 Bedrooms,
2132,Flat/Unit,4 or more Bedrooms,
2133,Total,Total,525
2133,Total,Bedsitter,
2133,Total,1 Bedroom,360
2133,Total,Not Specified,650
2133,Total,2 Bedrooms,480
2133,Total,3 Bedrooms,758
2133,Total,4 or more Bedrooms,
2133,House,Total,750
2133,House,Bedsitter,
2133,House,1 Bedroom,
2133,House,Not Specified,650
2133,House,2 Bedrooms,
2133,House,3 Bedrooms,758
2133,House,4 or more Bedrooms,
2133,Other,Total,
2133,Other,Bedsitter,
2133,Other,1 Bedroom,
2133,Other,Not Specified,
2133,Other,2 Bedrooms,
2133,Other,3 Bedrooms,
2133,Townhouse,Total,
2133,Townhouse,1 Bedroom,
2133,Townhouse,Not Specified,
2133,Townhouse,2 Bedrooms,
2133,Townhouse,3 Bedrooms,
2133,Townhouse,4 or more Bedrooms,
2133,Flat/Unit,Total,450
2133,Flat/Unit,Bedsitter,
2133,Flat/Unit,1 Bedroom,
2133,Flat/Unit,Not Specified,
2133,Flat/Unit,2 Bedrooms,460
2133,Flat/Unit,3 Bedrooms,
2133,Flat/Unit,4 or more Bedrooms,
2134,Total,Total,700
2134,Total,Bedsitter,460
2134,Total,1 Bedroom,600
2134,Total,Not Specified,675
2134,Total,2 Bedrooms,770
2134,Total,3 Bedrooms,980
2134,Total,4 or more Bedrooms,1050
2134,House,Total,720
2134,House,Bedsitter,
2134,House,1 Bedroom,
2134,House,Not Specified,700
2134,House,2 Bedrooms,690
2134,House,3 Bedrooms,800
2134,House,4 or more Bedrooms,950
2134,Other,Total,630
2134,Other,Bedsitter,
2134,Other,1 Bedroom,
2134,Other,Not Specified,
2134,Other,2 Bedrooms,
2134,Other,3 Bedrooms,
2134,Other,4 or more Bedrooms,
2134,Townhouse,Total,
2134,Townhouse,1 Bedroom,
2134,Townhouse,2 Bedrooms,
2134,Townhouse,3 Bedrooms,
2134,Townhouse,4 or more Bedrooms,
2134,Flat/Unit,Total,700
2134,Flat/Unit,Bedsitter,460
2134,Flat/Unit,1 Bedroom,600
2134,Flat/Unit,Not Specified,650
2134,Flat/Unit,2 Bedrooms,780
2134,Flat/Unit,3 Bedrooms,990
2134,Flat/Unit,4 or more Bedrooms,
2135,Total,Total,620
2135,Total,Bedsitter,310
2135,Total,1 Bedroom,480
2135,Total,Not Specified,670
2135,Total,2 Bedrooms,630
2135,Total,3 Bedrooms,850
2135,Total,4 or more Bedrooms,1200
2135,House,Total,700
2135,House,Bedsitter,
2135,House,1 Bedroom,
2135,House,Not Specified,680
2135,House,2 Bedrooms,
2135,House,3 Bedrooms,850
2135,House,4 or more Bedrooms,1200
2135,Other,Total,550
2135,Other,Bedsitter,
2135,Other,1 Bedroom,
2135,Other,Not Specified,
2135,Other,2 Bedrooms,
2135,Other,3 Bedrooms,
2135,Other,4 or more Bedrooms,
2135,Townhouse,Total,
2135,Townhouse,1 Bedroom,
2135,Townhouse,Not Specified,
2135,Townhouse,2 Bedrooms,
2135,Townhouse,3 Bedrooms,
2135,Townhouse,4 or more Bedrooms,
2135,Flat/Unit,Total,600
2135,Flat/Unit,Bedsitter,310
2135,Flat/Unit,1 Bedroom,480
2135,Flat/Unit,Not Specified,610
2135,Flat/Unit,2 Bedrooms,645
2135,Flat/Unit,3 Bedrooms,820
2135,Flat/Unit,4 or more Bedrooms,
2136,Total,Total,620
2136,Total,Bedsitter,
2136,Total,1 Bedroom,
2136,Total,Not Specified,650
2136,Total,2 Bedrooms,580
2136,Total,3 Bedrooms,720
2136,Total,4 or more Bedrooms,
2136,House,Total,673
2136,House,Bedsitter,
2136,House,1 Bedroom,
2136,House,Not Specified,658
2136,House,2 Bedrooms,
2136,House,3 Bedrooms,
2136,House,4 or more Bedrooms,
2136,Other,Total,
2136,Other,Bedsitter,
2136,Other,1 Bedroom,
2136,Other,Not Specified,
2136,Other,2 Bedrooms,
2136,Other,3 Bedrooms,
2136,Other,4 or more Bedrooms,
2136,Townhouse,Total,
2136,Townhouse,Not Specified,
2136,Townhouse,2 Bedrooms,
2136,Townhouse,3 Bedrooms,
2136,Townhouse,4 or more Bedrooms,
2136,Flat/Unit,Total,550
2136,Flat/Unit,Bedsitter,
2136,Flat/Unit,1 Bedroom,
2136,Flat/Unit,Not Specified,
2136,Flat/Unit,2 Bedrooms,550
2136,Flat/Unit,3 Bedrooms,
2136,Flat/Unit,4 or more Bedrooms,
2137,Total,Total,685
2137,Total,Bedsitter,
2137,Total,1 Bedroom,560
2137,Total,Not Specified,650
2137,Total,2 Bedrooms,680
2137,Total,3 Bedrooms,850
2137,Total,4 or more Bedrooms,1250
2137,House,Total,795
2137,House,Bedsitter,
2137,House,1 Bedroom,
2137,House,Not Specified,655
2137,House,2 Bedrooms,
2137,House,3 Bedrooms,850
2137,House,4 or more Bedrooms,1315
2137,Other,Total,
2137,Other,Bedsitter,
2137,Other,1 Bedroom,
2137,Other,Not Specified,
2137,Other,2 Bedrooms,
2137,Other,3 Bedrooms,
2137,Other,4 or more Bedrooms,
2137,Townhouse,Total,
2137,Townhouse,Bedsitter,
2137,Townhouse,1 Bedroom,
2137,Townhouse,Not Specified,
2137,Townhouse,2 Bedrooms,
2137,Townhouse,3 Bedrooms,
2137,Townhouse,4 or more Bedrooms,
2137,Flat/Unit,Total,650
2137,Flat/Unit,Bedsitter,
2137,Flat/Unit,1 Bedroom,560
2137,Flat/Unit,Not Specified,598
2137,Flat/Unit,2 Bedrooms,680
2137,Flat/Unit,3 Bedrooms,900
2137,Flat/Unit,4 or more Bedrooms,
2138,Total,Total,780
2138,Total,Bedsitter,345
2138,Total,1 Bedroom,620
2138,Total,Not Specified,778
2138,Total,2 Bedrooms,840
2138,Total,3 Bedrooms,1150
2138,Total,4 or more Bedrooms,1100
2138,House,Total,775
2138,House,Bedsitter,
2138,House,1 Bedroom,
2138,House,Not Specified,750
2138,House,2 Bedrooms,850
2138,House,3 Bedrooms,
2138,House,4 or more Bedrooms,
2138,Other,Total,
2138,Other,1 Bedroom,
2138,Other,Not Specified,
2138,Other,2 Bedrooms,
2138,Other,3 Bedrooms,
